state_slug,state_name,year,quarter,quarter_start_date,source_category,transaction_count,transaction_value_inr,source_file
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,2,2020-04-01,Utility,11620,10930551.064741788,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,3,2020-07-01,P2P,48650,334973608.15923077,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,3,2020-07-01,Retail,76639,42364469.24439745,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,3,2020-07-01,Utility,18700,14745764.312034247,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,4,2020-10-01,P2P,95937,617700235.1702638,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,4,2020-10-01,Retail,132834,87452304.29247552,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2020,4,2020-10-01,Utility,43234,27006783.04050333,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2020/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,1,2021-01-01,P2P,130833,806540347.2883372,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,1,2021-01-01,Retail,86168,112077368.12192363,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,1,2021-01-01,Utility,99269,43830157.95790008,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,2,2021-04-01,P2P,167435,905182683.7746009,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,2,2021-04-01,Retail,123565,143189222.21331862,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,2,2021-04-01,Utility,166972,57359121.18818939,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,3,2021-07-01,P2P,231422,1232300793.5452323,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,3,2021-07-01,Retail,169369,230795549.98857903,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2021,3,2021-07-01,Utility,186637,67708850.32078207,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2021/3.json
