financial_year,state_slug,state_name,per_capita_nsdp_current_inr,price_basis,series_base_year,source_table,source_url,availability_note
2023-24,mizoram,Mizoram,234996,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,nagaland,Nagaland,154828,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,odisha,Odisha,150414,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,punjab,Punjab,205374,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,rajasthan,Rajasthan,166647,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,sikkim,Sikkim,587743,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,tamil-nadu,Tamil Nadu,313329,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,telangana,Telangana,347714,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,tripura,Tripura,172299,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,uttar-pradesh,Uttar Pradesh,97364,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,uttarakhand,Uttarakhand,246178,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,west-bengal,West Bengal,149515,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,andaman-&-nicobar-islands,Andaman & Nicobar Islands,276000,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,chandigarh,Chandigarh,453457,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,delhi,Delhi,459408,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,jammu-&-kashmir,Jammu & Kashmir,140051,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,ladakh,Ladakh,242360,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
2023-24,puducherry,Puducherry,252164,current prices,2011-12 series,"Economic Survey 2025-26 Statistical Appendix, Table 1.11A",https://www.indiabudget.gov.in/economicsurvey/doc/stat/tab1.11a.pdf,The Economic Survey table does not publish State Domestic Product estimates for Dadra & Nagar Haveli and Daman & Diu or Lakshadweep; no values were imputed.
