date,year,month,quarter,payment_mode,volume_lakh,value_crore,source_resource_id
2020-06-16,2020,6,Q2,IMPS,67.37,7244.15,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-16,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,97.91,4058.76,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-16,2020,6,Q2,UPI,469.24,9361.87,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-17,2020,6,Q2,IMPS,68.21,7098.01,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-17,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,99.15,4018.48,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-17,2020,6,Q2,UPI,446.58,9087.24,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-18,2020,6,Q2,IMPS,66.09,6929.78,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-18,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,94.85,3800.05,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-18,2020,6,Q2,UPI,433.32,8793.32,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-19,2020,6,Q2,IMPS,65.63,6593.33,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-19,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,93.03,3659.34,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-19,2020,6,Q2,UPI,440.29,8512.47,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-20,2020,6,Q2,IMPS,64.79,6129.25,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-20,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,93.75,3684.4,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-20,2020,6,Q2,UPI,437.75,8280.13,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-21,2020,6,Q2,IMPS,45.95,3314.19,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-21,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,67.33,2262.91,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-21,2020,6,Q2,UPI,356.53,4938.44,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-22,2020,6,Q2,IMPS,68.48,7111.42,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-22,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,97.66,3843.19,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-22,2020,6,Q2,UPI,459.55,9375.2,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-23,2020,6,Q2,IMPS,66.62,6780.85,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-23,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,93.53,3651.49,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-23,2020,6,Q2,UPI,452.99,8650.02,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-24,2020,6,Q2,IMPS,65.81,6840.45,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-24,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,93.74,3654.83,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-24,2020,6,Q2,UPI,477.54,8942.45,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-25,2020,6,Q2,IMPS,66.16,6927.48,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-25,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,88.94,3479.39,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-25,2020,6,Q2,UPI,456.49,8531.52,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-26,2020,6,Q2,IMPS,66.32,6910.38,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-26,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,92.29,3618.91,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-26,2020,6,Q2,UPI,455.45,8660.95,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-27,2020,6,Q2,IMPS,62.86,5836.21,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-27,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,90.47,3525.75,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-27,2020,6,Q2,UPI,436.26,7586.08,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-28,2020,6,Q2,IMPS,49.17,3612.89,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-28,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,73.02,2491.09,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-28,2020,6,Q2,UPI,397.91,5544.8,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-29,2020,6,Q2,IMPS,72.11,8319.76,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-29,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,94.89,3877.57,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-29,2020,6,Q2,UPI,430.17,8825.17,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-30,2020,6,Q2,IMPS,83.56,10144.0,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-30,2020,6,Q2,NFS_ATM_CASH_WITHDRAWAL,102.06,4410.74,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-06-30,2020,6,Q2,UPI,505.09,11811.09,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-01,2020,7,Q3,IMPS,90.45,10474.88,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-01,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,111.03,5051.52,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-01,2020,7,Q3,UPI,515.18,11611.71,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-02,2020,7,Q3,IMPS,83.03,9342.1,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-02,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,108.64,4917.42,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-02,2020,7,Q3,UPI,481.96,10494.44,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-03,2020,7,Q3,IMPS,76.91,8293.17,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-03,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,103.23,4574.7,1f9367ac-01b0-4c82-83a1-4069d4340667
