financial_year,currency_with_public_crore,demand_deposits_crore,currency_to_demand_deposits_ratio,source_table,source_url,time_basis,interpretation_note
2017-18,1546603,1258041,1.229374082,RBI Table 41: Average Monetary Aggregates,https://systemhealth.rbi.org.in/Scripts/PublicationsView.aspx_id%3D22515%281%29.html,annual average (financial year),"Currency with the public divided by demand deposits. This is a monetary-aggregate context measure, not cash spending, cash withdrawals, or proof that UPI caused cash use to change."
2018-19,1910496,1357885,1.406964507,RBI Table 41: Average Monetary Aggregates,https://systemhealth.rbi.org.in/Scripts/PublicationsView.aspx_id%3D22515%281%29.html,annual average (financial year),"Currency with the public divided by demand deposits. This is a monetary-aggregate context measure, not cash spending, cash withdrawals, or proof that UPI caused cash use to change."
2019-20,2160630,1500699,1.439749077,RBI Table 41: Average Monetary Aggregates,https://systemhealth.rbi.org.in/Scripts/PublicationsView.aspx_id%3D22515%281%29.html,annual average (financial year),"Currency with the public divided by demand deposits. This is a monetary-aggregate context measure, not cash spending, cash withdrawals, or proof that UPI caused cash use to change."
2020-21,2618214,1691483,1.547880765,RBI Table 41: Average Monetary Aggregates,https://systemhealth.rbi.org.in/Scripts/PublicationsView.aspx_id%3D22515%281%29.html,annual average (financial year),"Currency with the public divided by demand deposits. This is a monetary-aggregate context measure, not cash spending, cash withdrawals, or proof that UPI caused cash use to change."
2021-22,2880956,1993729,1.445008825,RBI Table 41: Average Monetary Aggregates,https://systemhealth.rbi.org.in/Scripts/PublicationsView.aspx_id%3D22515%281%29.html,annual average (financial year),"Currency with the public divided by demand deposits. This is a monetary-aggregate context measure, not cash spending, cash withdrawals, or proof that UPI caused cash use to change."
2022-23,3121791,2202366,1.417471483,RBI Table 41: Average Monetary Aggregates,https://systemhealth.rbi.org.in/Scripts/PublicationsView.aspx_id%3D22515%281%29.html,annual average (financial year),"Currency with the public divided by demand deposits. This is a monetary-aggregate context measure, not cash spending, cash withdrawals, or proof that UPI caused cash use to change."
2023-24,3282183,2436808,1.346919002,RBI Table 41: Average Monetary Aggregates,https://systemhealth.rbi.org.in/Scripts/PublicationsView.aspx_id%3D22515%281%29.html,annual average (financial year),"Currency with the public divided by demand deposits. This is a monetary-aggregate context measure, not cash spending, cash withdrawals, or proof that UPI caused cash use to change."
