state_slug,state_name,year,quarter,quarter_start_date,registered_count,source_file
andhra-pradesh,Andhra Pradesh,2018,2,2018-04-01,3941740,data/aggregated/user/country/india/state/andhra-pradesh/2018/2.json
andhra-pradesh,Andhra Pradesh,2018,3,2018-07-01,4841052,data/aggregated/user/country/india/state/andhra-pradesh/2018/3.json
andhra-pradesh,Andhra Pradesh,2018,4,2018-10-01,6134766,data/aggregated/user/country/india/state/andhra-pradesh/2018/4.json
andhra-pradesh,Andhra Pradesh,2019,1,2019-01-01,7399826,data/aggregated/user/country/india/state/andhra-pradesh/2019/1.json
andhra-pradesh,Andhra Pradesh,2019,2,2019-04-01,8379878,data/aggregated/user/country/india/state/andhra-pradesh/2019/2.json
andhra-pradesh,Andhra Pradesh,2019,3,2019-07-01,9369779,data/aggregated/user/country/india/state/andhra-pradesh/2019/3.json
andhra-pradesh,Andhra Pradesh,2019,4,2019-10-01,10528985,data/aggregated/user/country/india/state/andhra-pradesh/2019/4.json
andhra-pradesh,Andhra Pradesh,2020,1,2020-01-01,11664133,data/aggregated/user/country/india/state/andhra-pradesh/2020/1.json
andhra-pradesh,Andhra Pradesh,2020,2,2020-04-01,12828761,data/aggregated/user/country/india/state/andhra-pradesh/2020/2.json
andhra-pradesh,Andhra Pradesh,2020,3,2020-07-01,14049378,data/aggregated/user/country/india/state/andhra-pradesh/2020/3.json
andhra-pradesh,Andhra Pradesh,2020,4,2020-10-01,15263807,data/aggregated/user/country/india/state/andhra-pradesh/2020/4.json
andhra-pradesh,Andhra Pradesh,2021,1,2021-01-01,16309736,data/aggregated/user/country/india/state/andhra-pradesh/2021/1.json
andhra-pradesh,Andhra Pradesh,2021,2,2021-04-01,17327874,data/aggregated/user/country/india/state/andhra-pradesh/2021/2.json
andhra-pradesh,Andhra Pradesh,2021,3,2021-07-01,18380260,data/aggregated/user/country/india/state/andhra-pradesh/2021/3.json
andhra-pradesh,Andhra Pradesh,2021,4,2021-10-01,19405303,data/aggregated/user/country/india/state/andhra-pradesh/2021/4.json
andhra-pradesh,Andhra Pradesh,2022,1,2022-01-01,20341205,data/aggregated/user/country/india/state/andhra-pradesh/2022/1.json
andhra-pradesh,Andhra Pradesh,2022,2,2022-04-01,21272937,data/aggregated/user/country/india/state/andhra-pradesh/2022/2.json
