monthly_date,year,month,quarter,payment_mode,days_observed,calendar_days,volume_lakh,value_crore
2022-04-01,2022,4,Q2,UPI,30,30,55843.88,983573.45
2022-05-01,2022,5,Q2,IMPS,31,31,4848.13,452328.12
2022-05-01,2022,5,Q2,NFS_ATM_CASH_WITHDRAWAL,31,31,3429.36,142754.48
2022-05-01,2022,5,Q2,UPI,31,31,59462.89,1040220.53
2022-06-01,2022,6,Q2,IMPS,30,30,4557.01,443776.04
2022-06-01,2022,6,Q2,NFS_ATM_CASH_WITHDRAWAL,30,30,3344.83,137612.90
2022-06-01,2022,6,Q2,UPI,30,30,58629.08,1014412.62
2022-07-01,2022,7,Q3,IMPS,31,31,4608.30,444540.95
2022-07-01,2022,7,Q3,NFS_ATM_CASH_WITHDRAWAL,31,31,3356.99,137429.91
2022-07-01,2022,7,Q3,UPI,31,31,62893.40,1063117.04
2022-08-01,2022,8,Q3,IMPS,31,31,4669.09,445988.99
2022-08-01,2022,8,Q3,NFS_ATM_CASH_WITHDRAWAL,31,31,3372.39,135534.01
2022-08-01,2022,8,Q3,UPI,31,31,65819.06,1073162.17
2022-09-01,2022,9,Q3,IMPS,30,30,4622.31,454451.31
2022-09-01,2022,9,Q3,NFS_ATM_CASH_WITHDRAWAL,30,30,3271.44,132927.14
2022-09-01,2022,9,Q3,UPI,30,30,67807.99,1116438.09
2022-10-01,2022,10,Q4,IMPS,31,31,4824.59,466081.77
2022-10-01,2022,10,Q4,NFS_ATM_CASH_WITHDRAWAL,31,31,3608.99,149199.74
2022-10-01,2022,10,Q4,UPI,31,31,73054.21,1211587.50
2022-11-01,2022,11,Q4,IMPS,30,30,4634.80,454678.67
2022-11-01,2022,11,Q4,NFS_ATM_CASH_WITHDRAWAL,30,30,3221.91,132476.39
2022-11-01,2022,11,Q4,UPI,30,30,73094.47,1190593.39
2022-12-01,2022,12,Q4,IMPS,31,31,4858.37,486552.13
2022-12-01,2022,12,Q4,NFS_ATM_CASH_WITHDRAWAL,31,31,3374.73,139643.53
2022-12-01,2022,12,Q4,UPI,31,31,78288.95,1281970.86
2023-01-01,2023,1,Q1,IMPS,31,31,4745.08,477491.47
2023-01-01,2023,1,Q1,NFS_ATM_CASH_WITHDRAWAL,31,31,3308.71,136293.12
2023-01-01,2023,1,Q1,UPI,31,31,80385.88,1299058.78
2023-02-01,2023,2,Q1,IMPS,28,28,4478.14,468647.13
2023-02-01,2023,2,Q1,NFS_ATM_CASH_WITHDRAWAL,28,28,3158.63,131903.44
2023-02-01,2023,2,Q1,UPI,28,28,75347.57,1235846.58
2023-03-01,2023,3,Q1,IMPS,31,31,4970.56,546234.65
2023-03-01,2023,3,Q1,NFS_ATM_CASH_WITHDRAWAL,31,31,3426.00,143483.72
2023-03-01,2023,3,Q1,UPI,31,31,86516.34,1404950.59
2023-04-01,2023,4,Q2,IMPS,30,30,4957.93,521050.26
2023-04-01,2023,4,Q2,NFS_ATM_CASH_WITHDRAWAL,30,30,3359.31,144135.28
2023-04-01,2023,4,Q2,UPI,30,30,88632.60,1415504.71
2023-05-01,2023,5,Q2,IMPS,31,31,5015.49,527557.73
2023-05-01,2023,5,Q2,NFS_ATM_CASH_WITHDRAWAL,31,31,3346.86,142028.37
2023-05-01,2023,5,Q2,UPI,31,31,94151.85,1489145.45
2023-06-01,2023,6,Q2,IMPS,30,30,4681.01,500481.97
2023-06-01,2023,6,Q2,NFS_ATM_CASH_WITHDRAWAL,30,30,3263.80,138594.14
2023-06-01,2023,6,Q2,UPI,30,30,93350.64,1475464.25
2023-07-01,2023,7,Q3,IMPS,31,31,4897.11,512311.87
2023-07-01,2023,7,Q3,NFS_ATM_CASH_WITHDRAWAL,31,31,3255.06,134661.13
2023-07-01,2023,7,Q3,UPI,31,31,99642.56,1533536.46
2023-08-01,2023,8,Q3,IMPS,31,31,4891.65,514279.53
2023-08-01,2023,8,Q3,NFS_ATM_CASH_WITHDRAWAL,31,31,3344.06,136929.16
2023-08-01,2023,8,Q3,UPI,31,31,105860.16,1576536.54
2023-09-01,2023,9,Q3,IMPS,30,30,4728.97,507497.24
2023-09-01,2023,9,Q3,NFS_ATM_CASH_WITHDRAWAL,30,30,3151.79,130559.55
2023-09-01,2023,9,Q3,UPI,30,30,105556.87,1579133.18
2023-10-01,2023,10,Q4,IMPS,31,31,4928.80,538238.51
2023-10-01,2023,10,Q4,NFS_ATM_CASH_WITHDRAWAL,31,31,3353.75,139537.48
2023-10-01,2023,10,Q4,UPI,31,31,114087.90,1715768.34
2023-11-01,2023,11,Q4,IMPS,30,30,4723.84,535001.71
2023-11-01,2023,11,Q4,NFS_ATM_CASH_WITHDRAWAL,30,30,3267.29,139760.22
2023-11-01,2023,11,Q4,UPI,30,30,112352.92,1739740.61
2023-12-01,2023,12,Q4,IMPS,31,31,4987.93,570126.07
2023-12-01,2023,12,Q4,NFS_ATM_CASH_WITHDRAWAL,31,31,3222.84,136372.09
2023-12-01,2023,12,Q4,UPI,31,31,120202.26,1822949.45
2024-01-01,2024,1,Q1,IMPS,31,31,5087.92,566309.72
2024-01-01,2024,1,Q1,NFS_ATM_CASH_WITHDRAWAL,31,31,3137.30,132749.34
2024-01-01,2024,1,Q1,UPI,31,31,122030.18,1841083.97
2024-02-01,2024,2,Q1,IMPS,29,29,5346.35,568091.81
2024-02-01,2024,2,Q1,NFS_ATM_CASH_WITHDRAWAL,29,29,3045.21,130245.91
2024-02-01,2024,2,Q1,UPI,29,29,121026.73,1827869.35
2024-03-01,2024,3,Q1,IMPS,31,31,5806.36,634705.71
2024-03-01,2024,3,Q1,NFS_ATM_CASH_WITHDRAWAL,31,31,3287.65,141480.31
2024-03-01,2024,3,Q1,UPI,31,31,134400.04,1978353.23
