quarter_start_date,year,quarter,phonepe_p2p_share_pct,phonepe_retail_share_pct,phonepe_utility_share_pct,all_upi_p2m_share_pct
2018-01-01,2018,Q1,33.64882851414466,64.23950534336451,2.1116661424908254,
2018-04-01,2018,Q2,38.57738957883665,57.39164247282793,4.030967948335416,
2018-07-01,2018,Q3,58.24824348130086,38.360923540262455,3.390832978436682,
2018-10-01,2018,Q4,46.74554214069102,49.545226424349025,3.7092314349599533,
2019-01-01,2019,Q1,56.20727626182665,40.321739407136334,3.470984331037015,
2019-04-01,2019,Q2,46.507405052009325,50.14024923055664,3.352345717434028,
2019-07-01,2019,Q3,41.78716456738865,53.503261164340536,4.709574268270815,
2019-10-01,2019,Q4,47.85612771934626,44.90084402434089,7.243028256312848,
2020-01-01,2020,Q1,42.522038141656815,47.68335950009581,9.794602358247369,
2020-04-01,2020,Q2,43.2353848000223,41.77949188163865,14.985123318339044,
2020-07-01,2020,Q3,44.77728136258017,44.482569436782505,10.740149200637322,
2020-10-01,2020,Q4,43.36042878879447,46.62661383108741,10.012957380118113,
2021-01-01,2021,Q1,41.77330325798393,42.85234805332946,15.374348688686606,
2021-04-01,2021,Q2,44.15524921677145,37.294600406394885,18.55015037683366,
2021-07-01,2021,Q3,42.02037104725488,43.221930547015376,14.757698405729741,
2021-10-01,2021,Q4,40.89888385839256,46.97698893780741,12.124127203800034,
2022-01-01,2022,Q1,40.467771687673554,49.07420368022621,10.458024632100232,40.960558174441886
2022-04-01,2022,Q2,38.25346520442011,51.5657003579523,10.180834437627587,42.35348543187173
2022-07-01,2022,Q3,37.4600424525656,52.667552501648736,9.872405045785667,50.0630826364725
2022-10-01,2022,Q4,36.88272254988189,53.913640422512465,9.203637027605641,53.48345865063651
2023-01-01,2023,Q1,36.593565672709175,54.45468397903808,8.951750348252741,55.202282232514804
2023-04-01,2023,Q2,35.55493939581337,55.73729698298719,8.707763621199444,57.012614477732704
2023-07-01,2023,Q3,34.781871137487116,57.14347797466331,8.07465088784957,58.37701148834063
2023-10-01,2023,Q4,34.92295089755003,57.67402354003221,7.403025562417756,59.34236106242992
2024-01-01,2024,Q1,34.523244113133536,58.17469191877113,7.302063968095329,61.214601928166644
2024-04-01,2024,Q2,32.99712352297043,59.99051930545922,7.012357171570342,62.66359927005404
2024-07-01,2024,Q3,33.16993992703565,60.129370550245675,6.70068952271868,62.30767759479842
2024-10-01,2024,Q4,33.19239029520358,60.54532939916403,6.2622803056323875,62.189130479332746
2025-01-01,2025,Q1,33.03048522245949,60.471419736579335,6.498095040961177,62.44210047136685
2025-04-01,2025,Q2,31.797837676083486,62.00263188821632,6.199530435700192,63.52419655171598
2025-07-01,2025,Q3,31.57438999049379,62.51561015762183,5.909999851884383,63.37411006554086
2025-10-01,2025,Q4,31.764703316194055,62.56850394603678,5.666792737769165,62.6573562196579
2026-01-01,2026,Q1,31.773027128998635,62.54655489894537,5.680417972055999,62.68942872373307
2026-04-01,2026,Q2,30.751328799972164,63.86043495107796,5.3882362489498705,
