financial_year,currency_with_public_crore,demand_deposits_crore,currency_to_demand_deposits_ratio,currency_per_100_demand_deposit_rupees,time_basis
2017-18,1546603.0,1258041.0,1.229374082,122.93740824027198,annual average (financial year)
2018-19,1910496.0,1357885.0,1.406964507,140.69645073036375,annual average (financial year)
2019-20,2160630.0,1500699.0,1.439749077,143.97490769301504,annual average (financial year)
2020-21,2618214.0,1691483.0,1.547880765,154.78807649855187,annual average (financial year)
2021-22,2880956.0,1993729.0,1.445008825,144.50088251713248,annual average (financial year)
2022-23,3121791.0,2202366.0,1.417471483,141.74714829415274,annual average (financial year)
2023-24,3282183.0,2436808.0,1.346919002,134.69190022357117,annual average (financial year)
